Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR AZMAN ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) PAK TUAN AL IDRUS,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) ULYA HUSAMUDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR. AHMAD FAKHRUDDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO DR MASHITAH BINTI IBRAHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D)
52,SALA KECHIL 010/17/13,"SEKOLAH KEBANGSAAN KAMPUNG JAWA,    KOTA SARANG SEMUT",1,390,56,0,5,284,44,389,1,0
52,SALA KECHIL 010/17/13,"SEKOLAH KEBANGSAAN KAMPUNG JAWA,    KOTA SARANG SEMUT",2,460,51,0,0,382,23,456,4,0
53,SELARONG BATANG 010/17/14,"SEKOLAH MENENGAH AGAMA IHYA UL-ULUM AD DINIAH, SIMPANG EMPAT",1,357,49,2,4,234,65,354,3,0
53,SELARONG BATANG 010/17/14,"SEKOLAH MENENGAH AGAMA IHYA UL-ULUM AD DINIAH, SIMPANG EMPAT",2,347,37,0,4,277,29,347,0,0
54,BULOH LIMA 010/17/15,"SEKOLAH KEBANGSAAN BULUH LIMA,            KOTA SARANG SEMUT",1,352,48,1,11,214,68,342,10,0
54,BULOH LIMA 010/17/15,"SEKOLAH KEBANGSAAN BULUH LIMA,            KOTA SARANG SEMUT",2,537,59,0,9,409,55,532,5,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.010 KUALA KEDAH
JUMLAH PEMILIH: 132,500                                                                                                                                                                                           MUKASURAT: 14/14",BULOH LIMA 010/17/15,"SEKOLAH KEBANGSAAN BULUH LIMA,            KOTA SARANG SEMUT",2,537,59,0,9,409,55,532,5,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)","Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",0,9,409,55,532,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)",DR AZMAN ISMAIL,PAK TUAN AL IDRUS,ULYA HUSAMUDIN,DR. AHMAD FAKHRUDDIN,DATO DR MASHITAH BINTI IBRAHIM,Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
55,TAMAN IMPIAN 010/17/16,"SEKOLAH MENENGAH KEBANGSAAN MUADZAM SHAH, KOTA SARANG SEMUT",1,308,153,3,2,97,50,305,3,0
55,TAMAN IMPIAN 010/17/16,"SEKOLAH MENENGAH KEBANGSAAN MUADZAM SHAH, KOTA SARANG SEMUT",2,378,135,2,2,177,55,371,7,0
55,TAMAN IMPIAN 010/17/16,"SEKOLAH MENENGAH KEBANGSAAN MUADZAM SHAH, KOTA SARANG SEMUT",3,396,93,0,5,257,40,395,1,0
55,TAMAN IMPIAN 010/17/16,"SEKOLAH MENENGAH KEBANGSAAN MUADZAM SHAH, KOTA SARANG SEMUT",4,438,116,0,4,286,30,436,2,0
56,KOTA SARANG SEMUT 010/17/17,"SEKOLAH JENIS KEBANGSAAN (CINA) MIN SIN,                KOTA SARANG SEMUT",1,347,213,1,5,87,38,344,3,0
56,KOTA SARANG SEMUT 010/17/17,"SEKOLAH JENIS KEBANGSAAN (CINA) MIN SIN,                KOTA SARANG SEMUT",2,481,245,0,6,193,37,481,0,0
56,KOTA SARANG SEMUT 010/17/17,"SEKOLAH JENIS KEBANGSAAN (CINA) MIN SIN,                KOTA SARANG SEMUT",3,489,192,0,5,264,26,487,2,0
JUMLAH,JUMLAH,JUMLAH,242,101510,28237,256,1805,56298,13879,100475,811,224
